"square","start","region"
7.3527,3267.51,"Полтавська область"
0.0699,74.97,"Черкаська область"
0.9438,3562.67,"Черкаська область"
4.176,11590.2,"Вінницька область"
22.2959,28413.26,"Чернігівська область"
12.4811,5810.73,"Кіровоградська область"
5.6294,8650,"Одеська область"
0.3,17744,"Рівненська область"
14.1538,5111.73,"Івано-Франківська область"
9.5057,63702.55,"Полтавська область"
2.2642,10499.2,"Донецька область"
0.2,49122.9,"Волинська область"
9.3024,21640,"Одеська область"
17,104305.98,"Кіровоградська область"
32.8275,21597.3,"Волинська область"
2.604,2644.51,"Волинська область"
10.5142,28139.66,"Львівська область"
40,52382.04,"Херсонська область"
20,50080.19,"Чернігівська область"
2.6501,12276.33,"Полтавська область"
76.3397,195636.56,"Кіровоградська область"
8.9283,15807.18,"Полтавська область"
3.7,1959.21,"Черкаська область"
2.6054,1913.64,"Львівська область"
19.9645,7263.86,"Херсонська область"
10.7815,30943.91,"Полтавська область"
10.3034,18110.2,"Харківська область"
0.1174,38.41,"Чернігівська область"
1.822,3865.67,"Херсонська область"
0.0045,171.35,"Полтавська область"
2.77,3590.57,"Тернопільська область"
6.8209,17701.49,"Донецька область"
43.0917,31682.02,"Полтавська область"
56.3511,23659.84,"Рівненська область"
8.276,22440.9,"Вінницька область"
29.0445,9050.71,"Херсонська область"
3.6489,12021.61,"Сумська область"
5.33,8406.03,"Волинська область"
54.6075,21184.05,"Сумська область"
10.2426,16750,"Одеська область"
3.9907,74541.74,"Черкаська область"
10.8977,19537.12,"Кіровоградська область"
4.1976,11077.83,"Харківська область"
1.6153,7873.12,"Вінницька область"
12.5615,2670.31,"Сумська область"
50.8724,50549.31,"Хмельницька область"
14.3855,5520,"Одеська область"
4.19,13326.38,"Полтавська область"
3.5601,4873.84,"Чернівецька область"
15.0002,42759.84,"Кіровоградська область"
5.8552,5094.09,"Сумська область"
0.0408,7959.18,"Херсонська область"
26.1097,41188.96,"Полтавська область"
0.3777,410.65,"Сумська область"
1.4314,952.83,"Тернопільська область"
15.0666,22486.14,"Житомирська область"
0.3963,48425.09,"Хмельницька область"
1.362,2505.04,"Рівненська область"
4.48,9480,"Одеська область"
7.3834,20680.1,"Харківська область"
0.15,16582.5,"Дніпропетровська область"
7.0476,14500,"Одеська область"
5.0937,1816.88,"Тернопільська область"
39.5606,4861.65,"Івано-Франківська"
8.6007,5927.96,"Черкаська область"
28.4778,3276.15,"Рівненська область"
0.6464,1559.5,"Чернівецька область"
5.6163,13440,"Одеська область"
1.9459,1907.69,"Тернопільська область"
0.158,50548.78,"Херсонська область"
4.314,904.2,"Чернігівська область"
1.8977,1488.35,"Херсонська область"
16,17354.62,"Сумська область"
8.5,12008.54,"Херсонська область"
18.2481,13527.86,"Херсонська область"
8.3346,8050,"Одеська область"
7.2,19060,"Одеська область"
7.7189,7285.56,"Черкаська область"
38.2759,80842.74,"Дніпропетровська область"
1.4151,7721.85,"Вінницька область"
71,82403.54,"Чернігівська область"
13.0113,26500,"Одеська область"
6.2681,7919.19,"Закарпатська область"
36.0372,23135.09,"Дніпропетровська область"
20.7617,33505.07,"Полтавська область"
9.9656,20470,"Одеська область"
10.2,4268.96,"Черкаська область"
0.8752,3801.65,"Сумська область"
308.55,91341.41,"Херсонська область"
20.6311,38111.77,"Запорізька область"
11.0637,2944.64,"Рівненська область"
0.5075,61251.7,"Дніпропетровська область"
14.3907,24244.35,"Херсонська область"
3.8737,2565.43,"Сумська область"
61.8864,33192.73,"Донецька область"
11,80464.33,"Львівська область"
11,7784.8,"Львівська область"
43.9,84931.08,"Миколаївська область"
5.2835,2825.96,"Дніпропетровська область"
0.0018,3838.1,"Львівська область"
6.7788,5617.04,"Дніпропетровська область"
28.581,12927.2,"Кіровоградська область"
11.2958,21410.96,"Миколаївська область"
12.1363,8604.24,"Херсонська область"
1.6004,3317.23,"Черкаська область"
8.2141,3760,"Одеська область"
2.98,8853.36,"Вінницька область"
6.298,1883.81,"Тернопільська область"
9.2067,6450,"Одеська область"
48.2338,127630,"Одеська область"
10.7279,7281.47,"Сумська область"
12.95,68761.94,"Кіровоградська область"
0.005,3797.21,"Черкаська область"
3.0426,4997.32,"Волинська область"
18,32400.72,"Тернопільська область"
3.217,9253.97,"Тернопільська область"
8.7473,2316.92,"Львівська область"
44.7546,52520.72,"Волинська область"
2.0166,564.32,"Львівська область"
5.8922,760968.08,"Чернігівська область"
4.0767,476.81,"Житомирська область"
2.3869,2539.81,"Львівська область"
2.8174,1273.98,"Тернопільська область"
43.3015,103860,"Одеська область"
7.5,10561.3,"Вінницька область"
1.5068,2615.51,"Львівська область"
0.04,6171.23,"Вінницька область"
13.5999,31398.94,"Черкаська область"
0.15,23389.57,"Хмельницька область"
10.0727,2496.16,"Рівненська область"
18.248,28720.08,"Львівська область"
21.9349,11499.56,"Чернігівська область"
20.2,8259.4,"Донецька область"
7.7516,9190.03,"Полтавська область"
24.4676,45968.08,"Вінницька область"
0.025,2384,"Вінницька область"
6.1819,15914.53,"Сумська область"
10.35,4004.3,"Черкаська область"
0.0027,1430.48,"Полтавська область"
18.9626,41387.81,"Запорізька область"
0.04,5368.85,"Полтавська область"
0.191,9279.74,"Черкаська область"
8,3184.13,"Донецька область"
4,7753.96,"Херсонська область"
4.68,6924,"Черкаська область"
6.3,17960,"Одеська область"
4.6464,1496.62,"Волинська область"
1.6178,293.84,"Львівська область"
8.056,45573.73,"Вінницька область"
0.5668,47473.34,"Івано-Франківська область"
16.3712,17627.85,"Чернівецька область"
0.6021,136.8,"Львівська область"
11.4839,6211.38,"Львівська область"
1.5939,1819.4,"Вінницька область"
0.9095,2318.55,"Харківська область"
0.04,7211.84,"Закарпатська область"
29.2563,28128.35,"Чернігівська область"
9.908,6379.1,"Чернівецька область"
5.5034,13866.64,"Чернівецька область"
0.1091,7419.27,"Сумська область"
37.51,46952.96,"Тернопільська область"
1.6046,544.17,"Черкаська область"
0.375,332,"Сумська область"
12.3764,22552.46,"Тернопільська область"
2.9,2479.73,"Луганська область"
1.2244,555.95,"Вінницька область"
1.9305,2348.5,"Рівненська область"
10.5,24038.69,"Хмельницька область"
28.5768,5542.35,"Херсонська область"
10.1723,14536.16,"Тернопільська область"
9.3996,8173.96,"Полтавська область"
1.4498,5239.45,"Черкаська область"
21.2836,38208.05,"Чернігівська область"
0.003,986.03,"Житомирська область"
1.2937,297.65,"Львівська область"
52.7245,73148.54,"Чернігівська область"
5.1527,1045.56,"Вінницька область"
0.078,100.29,"Львівська область"
2.1753,2944.2,"Полтавська область"
7.6003,12556.96,"Волинська область"
15,36198.32,"Запорізька область"
129.1819,261898.32,"Кіровоградська область"
21.9572,19421.95,"Рівненська область"
22,11878.51,"Волинська область"
16.6541,9550.49,"Львівська область"
11.412,6067.21,"Івано-Франківська область"
0.04,9348.75,"Львівська область"
4.9523,2084.23,"Рівненська область"
0.0757,10266.62,"Івано-Франківська область"
0.9186,385302.18,"Одеська область"
26.1616,37165.08,"Сумська область"
2.8411,768.68,"Львівська область"
14.0975,25389.03,"Черкаська область"
10.0723,27318.85,"Кіровоградська область"
9.4276,17747.24,"Львівська область"
0.3883,40156.7,"Івано-Франківська область"
1.2088,677174.2,"м.Київ"
8.5233,3792.86,"Сумська область"
13,25503.08,"Кіровоградська область"
24.9849,544470.94,"Кіровоградська область"
2.6896,36583.94,"Херсонська область"
13.3725,34430,"Одеська область"
20.2529,35890.4,"Волинська область"
47.0401,30106.4,"Донецька область"
34.6,14780.41,"Херсонська область"
5.8,1178.46,"Львівська область"
0.59,56569.2,"Львівська область"
150.1383,390684.01,"Чернігівська область"
0.11,5892.17,"Львівська область"
25.053,54310,"Одеська область"
7.579,5954.28,"Вінницька область"
6.6612,1218.23,"Львівська область"
26,2573.78,"Київська область"
45,50720,"Одеська область"
0.25,166128.75,"Полтавська область"
8.1842,17236.66,"Сумська область"
8.0259,9985.19,"Луганська область"
0.6372,58099.76,"Кіровоградська область"
0.9047,620.22,"Тернопільська область"
36.0453,74045.34,"Тернопільська область"
2.0453,2581.25,"Тернопільська область"
59.8521,31510,"Одеська область"
4.4648,2371.26,"Кіровоградська область"
9.8414,18753.31,"Рівненська область"
24.3068,5200,"Одеська область"
6.5557,4363.13,"Рівненська область"
5.8577,21592.03,"Вінницька область"
15,6670.13,"Хмельницька область"
47.9999,16805.54,"Херсонська область"
18.4974,91398.25,"Івано-Франківська область"
0.07,1829.73,"Волинська область"
3.3564,5486.58,"Тернопільська область"
77.1207,35958.2,"Херсонська область"
10.7268,3109.5,"Львівська область"
0.021,7105.69,"Волинська область"
9.9517,4476.11,"Рівненська область"
2.1387,999.77,"Тернопільська область"
5.1015,8038.48,"Тернопільська область"
8.3108,15016.3,"Луганська область"
1.22,74526.68,"Хмельницька область"
11.2874,17440,"Одеська область"
2.9122,5046.87,"Миколаївська область"
0.021,4931.36,"Київська область"
2,3385.64,"Хмельницька область"
14.6286,10588.96,"Івано-Франківська"
7.7902,9751.3,"Тернопільська область"
1.8199,7784.83,"Полтавська область"
0.01,6897.72,"Рівненська область"
1.6276,2708.79,"Львівська область"
5.118,8780,"Одеська область"
0.6288,55860.08,"Вінницька область"
9.506,21960,"Одеська область"
0.1536,54113.13,"Дніпропетровська область"
13.2976,43258.36,"Івано-Франківська область"
43.6498,17199.1,"Полтавська область"
64.5962,12992.61,"Херсонська область"
95.9466,152308.2,"Чернігівська область"
34.9042,11991.06,"Херсонська область"
19.59,12552.83,"Донецька область"
12.4995,3441.19,"Тернопільська область"
18.7488,44930,"Одеська область"
5.4598,7452.38,"Полтавська область"
0.0468,6904,"Волинська область"
10,6377.75,"Дніпропетровська область"
5.9901,17461.53,"Запорізька область"
6.0899,14030.59,"Донецька область"
4.3361,1538.93,"Черкаська область"
0.3,12594.05,"Херсонська область"
0.035,23417.1,"Херсонська область"
6.0953,11480,"Одеська область"
8.7733,25493.99,"Полтавська область"
6.9801,4186.98,"Волинська область"
34.1472,17928.97,"Чернігівська область"
5.3201,3075.22,"Тернопільська область"
0.0362,6395.89,"Чернівецька область"
56.1943,31890,"Одеська область"
3.4,4405.17,"Донецька область"
1.1444,324.94,"Тернопільська область"
0.12,18441.6,"Хмельницька область"
45.3706,81960,"Одеська область"
0.1228,855.15,"Дніпропетровська область"
0.004,3501.24,"Херсонська область"
5,3013.66,"Черкаська область"
3.7262,1267.85,"Дніпропетровська область"
3.6406,7515.18,"Херсонська область"
0.4433,19778.05,"Запорізька область"
0.2653,79000,"Вінницька область"
6,342.51,"Львівська область"
20.2462,21096.37,"Чернігівська область"
30.7203,28537.35,"Дніпропетровська область"
58.044,12306.75,"Сумська область"
18.7125,51752,"Полтавська область"
38.4092,115964.35,"Тернопільська область"
1.66,1095.35,"Тернопільська область"
1.6336,5563.08,"Черкаська область"
8,9098.32,"Вінницька область"
11.1416,3447.77,"Львівська область"
20,54772.27,"Закарпатська область"
30.3159,35781,"Волинська область"
0.9773,566.6,"Івано-Франківська область"
0.0256,3361.05,"Рівненська область"
8.9037,4949.85,"Миколаївська область"
6.7985,2372.3,"Сумська область"
20.7397,46966.95,"Волинська обл."
30.7311,82228.78,"Кіровоградська область"
3.8159,8259.46,"Донецька область"
28.0005,38849.64,"Тернопільська область"
15.8569,36540,"Одеська область"
1.298,2301.92,"Волинська область"
14.3755,94023.72,"Полтавська область"
11.8445,34197.43,"Черкаська область"
9.804,6768.77,"Київська область"
5,3232.63,"Донецька область"
11.4,1648.91,"Полтавська область"
5.4468,13082.34,"Дніпропетровська область"
125.8442,116856.87,"Херсонська область"
8.3791,1550.81,"Львівська область"
80.0001,155372.68,"Херсонська область"
8.5428,9400.88,"Рівненська область"
50.8355,44570,"Одеська область"
1.0304,754.56,"Тернопільська область"
16.5774,42336.36,"Харківська область"
0.0352,2788.84,"Сумська область"
17.1307,37223.15,"Львівська область"
0.0265,398.77,"Київська область"
3.6817,3699.82,"Львівська область"
0.0079,6881.15,"Миколаївська область"
12.25,22223.85,"Полтавська область"
5.7161,16951.69,"Харківська область"
0.282,31337.95,"Полтавська область"
6.3249,7028.31,"Чернігівська область"
3.1824,917.47,"Черкаська область"
12,18060.51,"Хмельницька область"
12,1335.15,"Львівська область"
13.1978,7931.94,"Чернігівська область"
2,966.88,"Вінницька область"
3.4464,12618.82,"Полтавська область"
13.2921,41524.56,"Вінницька область"
12.2,6066.48,"Черкаська область"
2.5718,7202.62,"Житомирська область"
25.1505,26780.3,"Волинська область"
6.6948,16203.09,"Харківська область"
0.005,749.56,"Полтавська область"
12,5604.29,"Луганська область"
0.06,32294.16,"Херсонська область"
7.8549,22151.88,"Харківська область"
19,45670.67,"Миколаївська область"
5.5674,14678.35,"Донецька область"
0.5001,50045.07,"Київська область"
33.8,10144.64,"Львівська область"
44.1827,14965.12,"Волинська область"
9.5496,36493.14,"Чернівецька область"
39.1575,33192.1,"Львівська область"
6.4,4382.37,"Черкаська область"
7.5221,1159.31,"Хмельницька область"
4.3768,6743.98,"Харківська область"
17,12771.06,"Хмельницька область"
12.9028,4670.94,"Полтавська область"
0.007,2368.56,"Волинська область"
25.1,61389.5,"Івано-Франківська область"
12.2,6094.77,"Черкаська область"
0.9186,385302.18,"Одеська область"
3.6094,4050,"Одеська область"
12.0044,17630,"Одеська область"
4.8655,1212.93,"Херсонська область"
5.0073,5504.11,"Харківська область"
0.01,7508.77,"Полтавська область"
0.002,1194.31,"Волинська область"
3.2416,9450,"Черкаська область"
3.5975,3117.55,"Івано-Франківська область"
46.9991,97850,"Одеська область"
9.9043,18546.91,"Донецька область"
11.85,35644.43,"Миколаївська область"
2.1235,6314.32,"Полтавська область"
27.8775,30628.28,"Херсонська область"
6,2626.08,"Львівська область"
0.0014,374.2,"Черкаська область"
14.8762,102350.73,"Полтавська область"
18.5468,44180,"Одеська область"
28.1688,14047.35,"Кіровоградська область"
0.0856,6981.98,"Львівська область"
20.4406,11314.96,"Рівненська область"
19.2425,10794.93,"Волинська область"
12.4156,8713.21,"Івано-Франківська область"
6.2722,4450,"Одеська область"
41.0286,75183.9,"Черкаська область"
50.2744,316981.44,"Кіровоградська область"
0.5592,91.35,"Сумська область"
9.6,3503.67,"Донецька область"
0.36,68051.71,"Донецька область"
83.5351,118184.44,"Львівська область"
3.623,6112.31,"Дніпропетровська область"
4.4541,7534.68,"Житомирська область"
6.4851,41024.74,"Черкаська область"
3.325,1511.91,"Тернопільська область"
15.6185,14149.41,"Тернопільська область"
9.9518,11334.64,"Хмельницька область"
4.34,2975.31,"Миколаївська область"
0.0404,5351.38,"Хмельницька область"
2.8174,1273.98,"Тернопільська область"
12.3764,1583.44,"Львівська область"
50,112753.31,"Кіровоградська область"
4.3901,5515.25,"Полтавська область"
10.8416,4053.79,"Івано-Франківська область"
8.4141,5964.56,"Львівська область"
13.269,11373.24,"Тернопільська область"
16.4,14378.46,"Чернігівська область"
54.9112,50046.4,"Львівська область"
6.655,2829.43,"Запорізька область"
30.9663,27472.77,"Харківська область"
11,5574.1,"Черкаська область"
39.5992,62201.5,"Запорізька область"
35.9055,20794.76,"Волинська область"
2.4,742.1,"Львівська область"
8.256,23641.06,"Полтавська область"
4.7396,3282.5,"Тернопільська область"
7.5,2316.15,"Тернопільська область"
18.6845,10590.91,"Волинська область"
10.7109,10185.56,"Волинська область"
3.0427,5180.42,"Харківська область"
1.5094,470.35,"Закарпатська область"
25.04,144488.44,"Тернопільська область"
7.1724,19415.35,"Тернопільська область"
18.7738,9515.59,"Кіровоградська область"
8.5143,27766.83,"Вінницька область"
0.0016,1703,"Одеська область"
0.1,7297.2,"Черкаська область"
0.0027,2581.1,"Вінницька область"
2.3941,10023.71,"Харківська область"
0.8821,51732.02,"Полтавська область"
19.948,33250.39,"Волинська область"
0.01,981,"Миколаївська область"
5.9888,5952.06,"Донецька область"
14.6906,32909.47,"Сумська область"
17.2645,14878.39,"Миколаївська область"
2.3592,5882.44,"Черкаська область"
4.55,5451.35,"Чернігівська область"
22.3475,22490,"Одеська область"
16.4722,1299.06,"Рівненська область"
0.0046,3577.24,"Миколаївська область"
2.9008,6577.54,"Тернопільська область"
0.009,7384.9,"Вінницька область"
2.9,8593.43,"Тернопільська область"
85.7,27922.43,"Херсонська область"
26.0249,36773.74,"Чернігівська область"
20.492,43081.14,"Тернопільська область"
7.9625,32273.53,"Івано-Франківська область"
0.0051,697.54,"Івано-Франківська область"
5.7918,11171.43,"Черкаська область"
18.5706,44495.75,"Черкаська область"
21.3829,61187.01,"Кіровоградська область"
3.4117,8524.57,"Кіровоградська область"
6.1442,72423.44,"Черкаська область"
2.3004,531.25,"Черкаська область"
1.8345,1593.9,"Сумська область"
0.0121,1970.71,"Кіровоградська область"
1.3204,508.63,"Тернопільська область"
14.7433,7629.52,"Хмельницька область"
6.4343,19845.75,"Чернівецька область"
0.3342,5780.34,"Чернівецька область"
15,18405.58,"Чернігівська область"
16.7528,39530.34,"Херсонська область"
0.0743,1941.23,"Київська область"
4.5701,18089.88,"Полтавська область"
16.0047,3739.58,"Сумська область"
0.0055,1379.93,"Черкаська область"
0.9778,1999.84,"Полтавська область"
0.0354,4269.24,"Рівненська область"
50,15223.36,"Миколаївська область"
24.2859,41189.71,"Івано-Франківська область"
2.5,5204.19,"Сумська область"
0.1696,6728.71,"Херсонська область"
0.2044,19190.71,"Миколаївська область"
92.5498,58229.45,"Чернігівська область"
30.6996,50242.6,"Чернігівська область"
2.805,1415.37,"Донецька область"
57.2166,13921.06,"Львівська область"
12.8026,242563.66,"Кіровоградська область"
7.0678,34998.12,"Черкаська область"
1.5094,470.35,"Закарпатська область"
0.0293,2479.37,"Волинська область"
2,3306.93,"Волинська область"
0.0972,3540.85,"Закарпатська область"
204.9639,380850.03,"Херсонська область"
2.167,4617.07,"Полтавська область"
16.9999,14504.94,"Львівська область"
43.6498,17199.1,"Полтавська область"
3.0713,2158.81,"Тернопільська область"
0.2766,117,"Полтавська область"
0.577,327545.59,"Одеська область"
32.9498,20080.48,"Дніпропетровська область"
0.0596,14306.98,"Вінницька область"
54.0456,144810,"Одеська область"
10.9996,22551.02,"Львівська область"
6.275,15422.87,"Сумська область"
0.2926,105571.25,"Дніпропетровська область"
0.04,6021.6,"Вінницька область"
0.5,4687.81,"Вінницька область"
8.6449,13756.17,"Херсонська область"
2.95,5526.24,"Тернопільська область"
