"square","start","region"
3.0639,2334.22,"Дніпропетровська область"
5.7206,3662.16,"Хмельницька область"
44.7546,52520.72,"Волинська область"
3.547,3383.74,"Полтавська область"
3.0106,834.24,"Харківська область"
2.42,2087.01,"Тернопільська область"
16.4697,13360,"Одеська область"
20.2401,44936.37,"Херсонська область"
0.1059,7016.51,"Львівська область"
40.0009,83600,"Кіровоградська область"
15.2258,7700,"Одеська область"
13.4455,3403.38,"Житомирська область"
18.9029,35900.61,"Миколаївська область"
3.8561,846.19,"Чернігівська область"
17.5957,58411.4,"Черкаська область"
25,27157.58,"Вінницька область"
2.3005,8373.46,"Черкаська область"
6,5747.33,"Вінницька область"
9.7026,31431.61,"Івано-Франківська область"
24.0002,41742.57,"Кіровоградська область"
0.1,2459.79,"Івано-Франківська область"
6.0462,8260,"Одеська область"
31.9277,131649.94,"Хмельницька область"
4.1374,13165.02,"Черкаська область"
26,32307.32,"Донецька область"
0.013,9979.24,"Херсонська область"
1,835.7,"Тернопільська область"
5.561,1541.76,"Тернопільська область"
22.6153,33375.48,"Чернігівська область"
7.8011,2917.36,"Волинська область"
50.7829,21976.16,"Запорізька область"
5.2697,729.96,"Львівська область"
0.06,23330.4,"Сумська область"
18.1152,20773.94,"Чернігівська область"
11.8,15513.22,"Львівська область"
12.76,12747.79,"Івано-Франківська область"
8.3872,25161.93,"Миколаївська область"
0.06,2550,"Волинська область"
20.5298,20804.6,"Хмельницька область"
0.8501,356570.2,"Одеська область"
36.0476,75150,"Одеська область"
5,1520.65,"Львівська область"
24.4599,17419.14,"Черкаська область"
4.0582,14689.83,"Сумська область"
9,9247,"Чернігівська область"
1,713.28,"Черкаська область"
3.603,988.96,"Тернопільська область"
25.1626,1945.11,"Рівненська область"
0.15,71464.67,"Кіровоградська область"
5.0336,1887.29,"Черкаська область"
12.7205,15287.67,"Чернігівська область"
0.0777,14640.54,"Черкаська область"
5.6368,9470.44,"Хмельницька область"
0.04,8391.44,"Львівська область"
23.283,46690,"Одеська область"
1.0623,338.73,"Житомирська область"
2.9468,13772.52,"Черкаська область"
0.1568,16895.25,"Хмельницька область"
3.2951,3815.56,"Сумська область"
1.1093,2060.78,"Харківська область"
40.6207,74770.26,"Чернігівська область"
2.8198,5916.09,"Тернопільська область"
46.0168,126970,"Одеська область"
3.5,7925.03,"Харківська область"
2.424,53500.81,"Закарпатська область"
0.02,6201.77,"Тернопільська область"
7.0308,6372.48,"Волинська область"
4.7624,3234.78,"Миколаївська область"
15.8905,2772.67,"Львівська область"
16.8552,22841.04,"Житомирська область"
6.3227,893.87,"Волинська область"
10.4034,17234.31,"Тернопільська область"
2.0288,1408.25,"Житомирська область"
20.0502,30823.68,"Волинська область"
2.0086,688.5,"Дніпропетровська область"
11.4318,23738.08,"Харківська область"
3.3581,3697.32,"Тернопільська область"
2.8198,5916.09,"Тернопільська область"
22.6475,30771.31,"Волинська область"
4.5242,8522.52,"Харківська область"
0.85,264.87,"Тернопільська область"
3.6466,9861.44,"Івано-Франківська область"
2,5295.46,"Полтавська область"
16.0002,22593.12,"Черкаська область"
1.7663,2827.17,"Львівська область"
5,8027.91,"Херсонська область"
1.2425,3626.59,"Вінницька область"
5.53,2981.64,"Харківська область"
9.9643,21753.29,"Тернопільська область"
68.93,44062.71,"Хмельницька область"
1.5518,2282.1,"Львівська область"
30.9653,1797.49,"Чернівецька область"
3.343,2538.16,"Тернопільська область"
24.5001,33690.88,"Волинська область"
0.002,2513.49,"Рівненська область"
72.9256,204638,"Кіровоградська область"
29.3705,70270.8,"Львівська область"
6.5487,1974.12,"Вінницька область"
3.2,16060.92,"Дніпропетровська область"
20.2368,39930,"Одеська область"
3.491,604.82,"Черкаська область"
1.9646,2240,"Одеська область"
18.3392,92044.52,"Дніпропетровська область"
17.1231,22274.28,"Чернігівська область"
3.0058,957.08,"Черкаська область"
27.93,29777.2,"Рівненська область"
12.8687,24534.84,"Хмельницька область"
7,4220.87,"Миколаївська область"
7.1643,13196.84,"Сумська область"
12.1602,116823.1,"Тернопільська область"
2,5567.03,"Полтавська область"
0.04,6379.17,"Рівненська область"
1.6759,1393.17,"Харківська область"
6.198,2317.67,"Волинська область"
22.064,24581.02,"Тернопільська область"
3.2323,9651.35,"Черкаська область"
9.999,8186.29,"Вінницька область"
22.7021,60039.32,"Донецька область"
0.159,30731.52,"Львівська область"
4.5521,19071.66,"Полтавська область"
5.1293,8521.92,"Харківська область"
0.0548,1180.5,"Київська область"
0.0612,62644.32,"Миколаївська область"
5.4167,6748.05,"Київська область"
0.0079,4000.32,"Рівненська область"
0.5714,2253.2,"Полтавська область"
4.8731,5247.16,"Чернівецька область"
6.8255,11759.77,"Харківська область"
20,21114.26,"Черкаська область"
25.5481,33780,"Одеська область"
5.4073,1166787.2,"Одеська область"
3.8497,9270,"Одеська область"
9.7552,19278.72,"Запорізька область"
3.0521,1640.61,"Черкаська область"
0.1412,44758,"Дніпропетровська область"
6.3733,11225.66,"Кіровоградська область"
2,3574.61,"Хмельницька область"
4.0061,11880.51,"Харківська область"
0.0939,33804,"Вінницька область"
4.2915,13430.88,"Черкаська область"
16.2375,6077.19,"Львівська область"
0.2147,32120.98,"Тернопільська область"
21.373,34997.2,"Запорізька область"
6.3621,6383.94,"Черкаська область"
7.302,25558.46,"Вінницька область"
21.2711,2155.86,"Волинська область"
0.2517,765.14,"Київська область"
3.4815,9634.74,"Черкаська область"
2.8916,5181.9,"Львівська область"
4.9,3778.29,"Донецька область"
0.2207,268.7,"Черкаська область"
0.0945,8016.72,"Івано-Франківська область"
0.0848,56.04,"Сумська область"
0.0014,643.2,"Рівненська область"
2.33,8343.27,"Черкаська область"
68.0195,86287.55,"Чернігівська область"
9.9999,12991.55,"Волинська область"
23.4955,9593.64,"Чернігівська область"
18,40472.56,"Кіровоградська область"
0.2842,18557.69,"Дніпропетровська область"
4.2993,10934.24,"Вінницька область"
7.454,566.18,"Житомирська область"
0.6001,1870.57,"Запорізька область"
47.63,51114.89,"Хмельницька область"
38.4908,10620.22,"Чернігівська область"
2.8056,3511.36,"Тернопільська область"
12,52748.27,"Вінницька область"
13.2599,619.8,"Сумська область"
5.2729,20975.65,"Черкаська область"
0.044,6615.31,"Івано-Франківська область"
6.5001,14380.27,"Кіровоградська область"
16.4,36707.49,"Чернігівська область"
46.5041,96950,"Одеська область"
9.4276,17747.24,"Львівська область"
9.468,20090,"Одеська область"
3.1824,917.47,"Черкаська область"
11.51,4800.69,"Тернопільська область"
5.7834,18022.95,"Полтавська область"
16.9135,6498.58,"Херсонська область"
7.2715,25640.64,"Черкаська область"
1.8617,5206.6,"Донецька область"
11.0802,23759.51,"Черкаська область"
11.6955,14040.43,"Волинська область"
19.7398,13608.37,"Сумська область"
0.04,9348.75,"Львівська область"
35.7635,27620.3,"Кіровоградська область"
1.1,2326.02,"Сумська область"
13.3356,18010,"Одеська область"
6.1028,13199.1,"Кіровоградська область"
4.8679,1365.22,"Житомирська область"
6.9,13114.44,"Львівська область"
3.3321,3309.51,"Черкаська область"
7.77,21902.72,"Кіровоградська область"
16.62,6473.81,"Львівська область"
11,16386.71,"Хмельницька область"
3.7342,7798.48,"Вінницька область"
12.1651,16287.38,"Черкаська область"
11.3999,2543.55,"Черкаська область"
2.873,842.13,"Черкаська область"
12.2354,35327.72,"Кіровоградська область"
92.7867,33330.59,"Сумська область"
38.2996,37700.71,"Чернігівська область"
8,7920.53,"Хмельницька область"
3.6801,19939.69,"Тернопільська область"
24.0076,50986.87,"Сумська область"
1,3684.55,"Волинська область"
7.8109,18865.58,"Чернівецька область"
8.998,8357.81,"Сумська область"
1.8128,3394.93,"Полтавська область"
0.0743,19813.5,"Кіровоградська область"
11,4377.56,"Чернігівська область"
21.8,134281.05,"Полтавська область"
30,51853.45,"Волинська область"
15.0572,11372.36,"Тернопільська область"
15.295,11796.23,"Тернопільська область"
4,9173.26,"Хмельницька область"
3.8828,6692.14,"Волинська область"
17.9585,8452.26,"Харківська область"
124.3,78070.47,"Полтавська область"
10.5672,8270.55,"Тернопільська область"
11.4207,33510,"Одеська область"
16.2096,41248.16,"Кіровоградська область"
0.4335,948.05,"Харківська область"
31.8413,9310.98,"Тернопільська область"
14.3875,9403.93,"Кіровоградська область"
10,27499.86,"Кіровоградська область"
65.0573,11198.12,"Чернігівська область"
0.7387,1186.53,"Львівська область"
17.0143,23580,"Одеська область"
0.031,2221,"Івано-Франківська область"
2.0333,6084.32,"Харківська область"
24.9548,108655.38,"Херсонська область"
10.1054,5330,"Одеська область"
0.1911,35929.85,"Львівська область"
4.0796,4461.57,"Полтавська область"
8.5248,10651.24,"Запорізька область"
37.0396,32790.25,"Кіровоградська область"
0.1,33849,"Дніпропетровська область"
8.8598,15640,"Одеська область"
85.0028,43830,"Дніпропетровська область"
9.7364,22200,"Одеська область"
11.44,8700.74,"Волинська область"
0.12,74.17,"Львівська область"
13.0012,6509.98,"Миколаївська область"
0.0297,5711.66,"Рівненська область"
2,7089.16,"Чернівецька область"
7.1787,15340,"Одеська область"
0.2318,91923.54,"Дніпропетровська область"
5.1708,9040.4,"Кіровоградська область"
6.25,11899.98,"Херсонська область"
20.0662,32170,"Одеська область"
0.1364,30255.6,"Запорізька область"
23.1032,45850,"Одеська область"
1.3767,4766.9,"Кіровоградська область"
3.7594,10530.02,"Сумська область"
0.1084,439.48,"Черкаська область"
2.6954,1207.4,"Чернівецька область"
17.3703,23865.42,"Донецька область"
10.0481,17330.39,"Кіровоградська область"
0.9894,860.15,"Сумська область"
0.2021,113.36,"Сумська область"
3.7977,1155,"Львівська область"
13.0342,29600,"Одеська область"
5.6091,1041.85,"Хмельницька область"
9.5619,6142.37,"Хмельницька область"
11.3717,22205.47,"Львівська область"
9.6343,4993.55,"Черкаська область"
17.3968,41703.98,"Харківська область"
41.7087,27050,"Одеська область"
11.8443,1848.11,"Львівська область"
8.4001,9622.28,"Полтавська область"
16,9841.97,"Миколаївська область"
0.16,16431.42,"Хмельницька область"
2.8397,11122.89,"Полтавська область"
54.0612,83274.25,"Житомирська область"
7.6022,3506.79,"Київська область"
19.9,46406.65,"Полтавська область"
16.6713,28550,"Одеська область"
7.8776,5070.59,"Дніпропетровська область"
3.2152,11318.39,"Полтавська область"
2.328,6474.53,"Полтавська область"
10,4835.59,"Дніпропетровська область"
11,7784.8,"Львівська область"
26.5999,57702.04,"Львівська область"
2.2524,1897.92,"Полтавська область"
4.8968,11098,"Кіровоградська область"
1.6371,1557.1,"Тернопільська область"
39.6817,89190,"Одеська область"
22.18,56889.96,"Львівська область"
5.7207,16615.15,"Харківська область"
38.5444,44193.58,"Чернігівська область"
0.085,2768.94,"Хмельницька область"
17.1,15561.89,"Черкаська область"
7.3,15900.04,"Миколаївська область"
5.428,7806.07,"Запорізька область"
22.5099,87795.65,"Вінницька область"
3.9572,1294.78,"Житомирська область"
4.4,2728.93,"Херсонська область"
19.9562,13370.11,"Львівська область"
2.5719,7202.83,"Житомирська область"
166.85,343368.88,"Миколаївська область"
3.5649,13253.62,"Полтавська область"
13.5725,10039.66,"Тернопільська область"
0.0052,3969.78,"Рівненська область"
19.8461,33590,"Одеська область"
20.0009,32423.11,"Черкаська область"
21.0779,22628.31,"Житомирська область"
5.1404,6148.68,"Волинська область"
0.1829,13286,"Сумська область"
9.8651,3535.23,"Черкаська область"
21.918,59057.09,"Львівська область"
6.9987,8210,"Одеська область"
45.5169,32800.37,"Тернопільська область"
0.447,142434.41,"Волинська обл."
0.05,7726.8,"Івано-Франківська область"
44.5966,100700,"Одеська область"
14.2359,9377.17,"Закарпатська область"
16.6483,9114.27,"Тернопільська область"
5.3992,6809.37,"Тернопільська область"
51.7705,24970.58,"Волинська область"
61.8677,164420,"Одеська область"
0.1341,8791.46,"Рівненська область"
8.0792,9472.5,"Запорізька область"
9.0711,43885.32,"Полтавська область"
13.2609,26700,"Одеська область"
1.774,6878.72,"Тернопільська область"
6.3264,16702.53,"Луганська область"
0.05,3530,"Вінницька область"
0.016,11882.08,"Херсонська область"
5.9,7534.74,"Тернопільська область"
9.3399,19190,"Одеська область"
7.5472,41224.66,"Черкаська область"
4.3418,9772.63,"Черкаська область"
44.5242,16062.19,"Житомирська область"
3.9948,6810.52,"Вінницька область"
49.0555,133130,"Вінницька область"
8.0259,9985.19,"Луганська область"
4.5014,8933.27,"Донецька область"
17.0998,8367.18,"Черкаська область"
0.4131,35131,"Миколаївська область"
36.6618,42613.35,"Кіровоградська область"
8.1637,1871.33,"Тернопільська область"
10.01,9441.12,"Полтавська область"
8.2198,4595.58,"Херсонська область"
0.11,27726.91,"Запорізька область"
5.1679,4970,"Одеська область"
54.9921,42647.2,"Херсонська область"
5.7967,5057.76,"Кіровоградська область"
13.0654,14517.86,"Чернігівська область"
0.2917,253.67,"Сумська область"
25.7786,14057.44,"Кіровоградська область"
29.6296,38806.02,"Київська область"
85.8,62702.4,"Донецька область"
7.6018,6068.08,"Житомирська область"
5.1,9292.84,"Сумська область"
51.8685,17361.76,"Дніпропетровська область"
7.9099,21460.75,"Івано-Франківська область"
20.1139,8930.12,"Тернопільська область"
3.3053,4250,"Одеська область"
0.001,194.56,"Закарпатська область"
26.512,60734.28,"Волинська область"
1.8201,2494.59,"Закарпатська область"
11.8,20700.63,"Луганська область"
3.8289,13508.17,"Сумська область"
77.3706,114207.57,"Волинська область"
11.9354,12819.66,"Івано-Франківська область"
0.9916,15085.14,"Волинська область"
7.0833,18180,"Одеська область"
0.002,827.68,"Харківська область"
3.9907,1948.13,"Житомирська область"
30.9865,14181.18,"Закарпатська область"
1.0914,31443.23,"Херсонська область"
3.5231,5495,"Черкаська область"
19.53,47533.18,"Тернопільська область"
18.0223,33854.88,"Черкаська область"
2.579,11563.48,"Черкаська область"
62.5164,22794.89,"Львівська область"
9.4456,3382.53,"Тернопільська область"
5,16302.54,"Черкаська область"
3.3581,3697.32,"Тернопільська область"
3.9018,4251.05,"Київська область"
3.7297,13326.38,"Полтавська область"
11.1075,21531.73,"Херсонська область"
6.0513,5207.36,"Житомирська область"
4.0908,1305.27,"Львівська область"
17.103,9539.12,"Волинська область"
13.1258,7679.16,"Волинська область"
24.511,12159.6,"Львівська область"
1,3649.32,"Вінницька область"
0.318,69621.41,"Львівська область"
15,23987.38,"Волинська область"
2.3,678.03,"Тернопільська область"
60.0626,56769.2,"Чернігівська область"
0.3751,445.81,"Сумська область"
24.2719,57860.52,"Черкаська область"
88.8101,11182.14,"Херсонська область"
8.1334,7350.36,"Чернігівська область"
0.07,18347,"Херсонська область"
1.6827,6871.92,"Полтавська область"
0.0035,2282.7,"Закарпатська область"
71.5229,132253.78,"Донецька область"
1.9888,712.6,"Тернопільська область"
0.5,969.24,"Херсонська область"
11.1536,5281.68,"Житомирська область"
0.003,2552.81,"Волинська область"
3.4832,8189.18,"Полтавська область"
0.09,8964.51,"Хмельницька область"
14.8691,40639.68,"Сумська область"
2.4863,10799.86,"Сумська область"
3,10561.69,"Вінницька область"
24.4868,14388.58,"Донецька область"
46.963,99774.28,"Херсонська область"
13.8581,50090,"Волинська область"
0.3477,45663,"Сумська область"
7.8242,5705,"Херсонська область"
23.942,49209.28,"Кіровоградська область"
6.9801,3844.46,"Чернігівська область"
73.0016,220677.48,"Хмельницька область"
12.7784,2195.7,"Київська область"
33.1281,16959.96,"Київська область"
86.6781,47463.9,"Волинська область"
0.0064,2885.28,"Миколаївська область"
6.8463,20149.43,"Тернопільська область"
0.023,3152.14,"Івано-Франківська область"
2.564,11414.22,"Черкаська область"
62.5804,123894.15,"Чернігівська область"
4.9002,5562.98,"Черкаська область"
19.4283,4828.39,"Львівська область"
18.0164,638080.29,"Полтавська область"
98.2153,71301.58,"Сумська область"
2.788,3388.25,"Чернігівська область"
26.0393,5636.69,"Чернігівська область"
29.3988,68106.4,"Полтавська область"
3.9289,574.21,"Львівська область"
2.1298,6974.2,"Сумська область"
0.0012,453.49,"Волинська область"
47.8464,22918.82,"Чернігівська область"
5.7817,4200.46,"Сумська область"
0.0295,5481.56,"Рівненська область"
9.0717,4733.5,"Івано-Франківська область"
9.2765,2813.71,"Рівненська область"
15.8931,38830,"Одеська область"
6,13127.08,"Донецька область"
1.1687,37100.39,"Кіровоградська область"
13.3991,31659.99,"Полтавська область"
6.0001,10733.4,"Запорізька область"
5.682,4233.94,"Івано-Франківська область"
16.8641,7040.24,"Дніпропетровська область"
19.9976,38358.1,"Дніпропетровська область"
0.005,5674.8,"Харківська область"
0.65,49073.6,"Запорізька область"
12.4489,17955.97,"Житомирська область"
2,1024.27,"Хмельницька область"
0.0015,1605,"Одеська область"
29.9,68446.87,"Полтавська область"
3.4,3492.2,"Черкаська область"
27.8574,9472.99,"Житомирська область"
97.7425,14947.79,"Сумська область"
3.5572,5479.75,"Сумська область"
15.4705,6464.08,"Миколаївська область"
0.0145,2025.13,"Херсонська область"
1.5,80155.17,"Волинська область"
0.015,5942.56,"Рівненська область"
4.5847,9835.38,"Сумська область"
47.01,13858.69,"Волинська область"
142.1968,67724.21,"Житомирська область"
3.7923,2380.03,"Тернопільська область"
35.3,189701.78,"Миколаївська область"
8.7345,11681.22,"Тернопільська область"
14,7497.47,"Чернігівська область"
17.4303,39360,"Одеська область"
0.0031,2133.55,"Херсонська область"
0.0685,10797.38,"Херсонська область"
11.7638,15825.06,"Львівська область"
3.8828,16511.89,"Полтавська область"
12.526,24281.5,"Херсонська область"
6.6887,13299.17,"Луганська область"
4.6015,9551.74,"Полтавська область"
20,12598.44,"Донецька область"
5.5869,14243.9,"Кіровоградська область"
0.0033,1253.47,"Кіровоградська область"
97.3535,25786.3,"Херсонська область"
1.4,665.73,"Вінницька область"
35.2787,29041.15,"Миколаївська область"
10.5813,4894.42,"Чернігівська область"
2.3869,1058.25,"Львівська область"
125.5455,58783.08,"Чернігівська область"
0.0159,3252.58,"Волинська область"
70.8141,38287.43,"Чернігівська область"
0.0405,2119.76,"Івано-Франківська область"
0.0077,3842.24,"Харківська область"
0.0838,38207.67,"Сумська область"
8.3064,9885.97,"Луганська область"
42.6213,87870.14,"Полтавська область"
3.4815,10277.05,"Черкаська область"
20.8061,34170.13,"Херсонська область"
6.9883,5715.48,"Кіровоградська область"
28.36,37567.63,"Львівська область"
3.3971,1370.03,"Рівненська область"
8.9805,14121.22,"Херсонська область"
